                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1341,                0.63319,                 1.1522,                0.97866,                0.90698,                0.93212,                0.65405,                 1.0772,                0.45752,                 1.1021,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1576,                0.64074,                 1.1554,                0.97117,                0.91404,                0.92956,                 0.6637,                 1.0508,                0.45467,                 1.0857,               0.000812,               0.000812,               0.000812
                     62,                 1.1141,                0.61834,                 1.1346,                0.97214,                0.91085,                0.93297,                 0.6536,                 1.0753,                0.46513,                 1.0893,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1369,                0.61434,                 1.1523,                 0.9799,                0.90116,                 0.9292,                0.66259,                 1.0451,                0.45038,                 1.0857,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1096,                 0.6267,                 1.1452,                0.96033,                0.89126,                0.92585,                0.65541,                 1.0402,                0.47763,                 1.0825,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1255,                0.62962,                 1.1449,                 0.9672,                0.91424,                0.92791,                0.65935,                 1.0618,                0.46126,                 1.0889,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1087,                 0.6237,                 1.1227,                0.98304,                0.89869,                0.93125,                0.66905,                 1.0293,                0.45751,                 1.0752,               0.000713,               0.000713,               0.000713
                     67,                 1.0868,                0.61953,                 1.1164,                0.98145,                0.90891,                0.93165,                0.66846,                 1.0204,                0.43663,                 1.0721,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1197,                0.60572,                 1.1315,                0.97317,                0.91385,                0.93532,                  0.662,                 1.0398,                0.44764,                 1.0751,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0736,                0.58631,                 1.1149,                0.97498,                0.90116,                0.93421,                0.66955,                  1.034,                0.44931,                 1.0694,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0736,                0.60851,                 1.1197,                0.97689,                0.90891,                0.93345,                0.67589,                 1.0265,                0.44382,                 1.0718,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1008,                0.58892,                 1.1174,                0.97509,                0.91015,                0.93324,                0.66403,                 1.0664,                0.43234,                 1.0891,               0.000614,               0.000614,               0.000614
                     72,                 1.0296,                0.55888,                 1.0945,                0.98171,                0.91667,                0.93485,                 0.6858,                0.99012,                0.41929,                 1.0595,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0419,                0.56664,                 1.1167,                0.97331,                0.91864,                0.93984,                0.68485,                  1.008,                0.42736,                 1.0691,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0519,                0.57035,                 1.1277,                0.98834,                0.91085,                0.93788,                0.69043,                 0.9981,                 0.4145,                 1.0615,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0462,                0.55919,                  1.118,                0.98736,                0.90826,                0.93747,                0.68547,                0.98416,                0.40898,                 1.0557,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0788,                0.57345,                 1.1215,                0.98131,                0.91595,                0.94105,                0.66995,                 1.0424,                0.42164,                  1.074,               0.000515,               0.000515,               0.000515
                     77,                 1.0128,                0.55772,                 1.1065,                0.98122,                0.91473,                0.94147,                0.68845,                 1.0106,                0.41049,                 1.0532,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0606,                0.56919,                 1.1111,                0.98148,                0.90891,                 0.9367,                0.68128,                0.96304,                0.40786,                 1.0459,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.014,                0.55915,                 1.0955,                0.98532,                0.91081,                0.94131,                0.68958,                0.96889,                0.40631,                 1.0468,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0458,                0.55382,                 1.1095,                 0.9814,                0.91279,                0.94594,                0.71903,                 0.9256,                0.39606,                 1.0342,              0.0004358,              0.0004358,              0.0004358
                     81,                0.99989,                0.55562,                 1.0802,                0.97962,                0.91473,                0.94057,                0.70925,                0.92492,                0.40548,                 1.0315,               0.000416,               0.000416,               0.000416
                     82,                 1.0026,                0.55596,                 1.0936,                0.98373,                0.91667,                0.94124,                0.69492,                0.96168,                0.40605,                 1.0447,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0308,                 0.5588,                 1.1112,                0.98944,                 0.9077,                0.94248,                0.71495,                0.92487,                0.39253,                 1.0248,              0.0003764,              0.0003764,              0.0003764
                     84,                   1.01,                0.54388,                 1.0944,                0.98535,                0.91213,                0.93857,                0.70566,                0.93953,                0.39448,                 1.0315,              0.0003566,              0.0003566,              0.0003566
                     85,                0.99348,                 0.5492,                 1.0888,                0.98305,                0.92442,                0.93908,                0.71332,                0.91629,                0.38484,                 1.0266,              0.0003368,              0.0003368,              0.0003368
                     86,                0.97642,                0.52592,                 1.0846,                0.99053,                0.91279,                0.94233,                0.71693,                0.91316,                 0.3865,                 1.0258,               0.000317,               0.000317,               0.000317
